"day","complaint_type","daily","cumulative"
"2024-01-26","DriverBehaviour",1,3
"2024-01-28","DriverBehaviour",1,4
"2024-02-02","DriverBehaviour",1,5
"2024-03-02","DriverBehaviour",1,6
"2024-03-04","DriverBehaviour",1,7
"2024-03-16","DriverBehaviour",1,8
"2024-03-28","DriverBehaviour",1,9
"2024-04-03","DriverBehaviour",1,10
"2024-04-08","DriverBehaviour",1,11
"2024-05-27","DriverBehaviour",1,12
"2024-05-31","DriverBehaviour",1,13
"2024-06-08","DriverBehaviour",1,14
"2024-06-17","DriverBehaviour",1,15
"2024-06-18","DriverBehaviour",1,16
"2024-06-30","DriverBehaviour",1,17
"2024-07-13","DriverBehaviour",1,18
"2024-08-04","DriverBehaviour",1,19
"2024-08-18","DriverBehaviour",1,20
"2024-08-21","DriverBehaviour",1,21
"2024-09-20","DriverBehaviour",1,22
"2024-09-29","DriverBehaviour",1,23
"2024-10-01","DriverBehaviour",1,24
"2024-11-07","DriverBehaviour",1,25
"2024-12-05","DriverBehaviour",1,26
"2024-12-07","DriverBehaviour",1,27
"2024-12-16","DriverBehaviour",1,28
"2024-12-20","DriverBehaviour",1,29
"2024-12-21","DriverBehaviour",1,30
"2025-01-04","DriverBehaviour",1,31
"2025-01-11","DriverBehaviour",1,32
"2025-01-13","DriverBehaviour",2,34
"2025-01-17","DriverBehaviour",1,35
"2025-01-18","DriverBehaviour",1,36
"2025-02-04","DriverBehaviour",1,37
"2025-04-03","DriverBehaviour",1,38
"2025-04-05","DriverBehaviour",1,39
"2025-05-17","DriverBehaviour",1,40
"2025-06-01","DriverBehaviour",1,41
"2025-06-03","DriverBehaviour",1,42
"2025-07-24","DriverBehaviour",1,43
"2025-07-25","DriverBehaviour",1,44
"2025-08-01","DriverBehaviour",1,45
"2025-08-08","DriverBehaviour",1,46
"2025-09-10","DriverBehaviour",1,47
"2025-09-20","DriverBehaviour",1,48
"2025-09-25","DriverBehaviour",1,49
"2025-12-27","DriverBehaviour",1,50
"2026-01-07","DriverBehaviour",1,51
"2024-01-25","MissedPickup",1,1
"2024-01-31","MissedPickup",1,2
"2024-03-05","MissedPickup",1,3
"2024-03-11","MissedPickup",1,4
"2024-03-14","MissedPickup",1,5
"2024-03-30","MissedPickup",1,6
"2024-04-02","MissedPickup",1,7
"2024-04-08","MissedPickup",1,8
"2024-04-09","MissedPickup",1,9
"2024-04-24","MissedPickup",1,10
"2024-04-27","MissedPickup",1,11
"2024-06-03","MissedPickup",1,12
"2024-07-03","MissedPickup",1,13
"2024-07-05","MissedPickup",1,14
"2024-07-21","MissedPickup",1,15
"2024-07-22","MissedPickup",1,16
"2024-07-30","MissedPickup",1,17
"2024-08-01","MissedPickup",1,18
"2024-08-20","MissedPickup",1,19
"2024-09-03","MissedPickup",1,20
"2024-09-11","MissedPickup",1,21
"2024-09-14","MissedPickup",1,22
"2024-09-17","MissedPickup",1,23
"2024-09-26","MissedPickup",1,24
"2024-09-27","MissedPickup",1,25
"2024-11-03","MissedPickup",1,26
"2024-11-07","MissedPickup",1,27
"2024-11-11","MissedPickup",2,29
"2024-11-27","MissedPickup",2,31
"2024-12-05","MissedPickup",1,32
"2024-12-15","MissedPickup",1,33
"2024-12-19","MissedPickup",1,34
"2024-12-21","MissedPickup",1,35
"2024-12-28","MissedPickup",1,36
"2025-01-15","MissedPickup",1,37
"2025-01-28","MissedPickup",1,38
"2025-02-22","MissedPickup",1,39
"2025-02-25","MissedPickup",1,40
"2025-03-14","MissedPickup",1,41
"2025-04-06","MissedPickup",1,42
"2025-04-11","MissedPickup",1,43
"2025-04-27","MissedPickup",1,44
"2025-05-08","MissedPickup",1,45
"2025-05-11","MissedPickup",1,46
"2025-05-13","MissedPickup",1,47
"2025-06-05","MissedPickup",1,48
"2025-06-13","MissedPickup",1,49
"2025-06-17","MissedPickup",1,50
"2025-06-19","MissedPickup",1,51
"2025-06-25","MissedPickup",1,52
"2025-06-27","MissedPickup",1,53
"2025-07-08","MissedPickup",1,54
"2025-08-01","MissedPickup",1,55
"2025-08-13","MissedPickup",1,56
"2025-08-21","MissedPickup",1,57
"2025-09-22","MissedPickup",1,58
"2025-09-23","MissedPickup",1,59
"2025-10-16","MissedPickup",1,60
"2025-11-05","MissedPickup",1,61
"2025-12-14","MissedPickup",1,62
"2025-12-27","MissedPickup",1,63
"2026-01-02","MissedPickup",1,64
"2024-01-15","SupportExperience",1,1
"2024-02-05","SupportExperience",1,2
"2024-02-25","SupportExperience",1,3
"2024-04-16","SupportExperience",1,4
"2024-05-03","SupportExperience",1,5
"2024-06-11","SupportExperience",1,6
"2024-06-25","SupportExperience",1,7
"2024-10-04","SupportExperience",1,8
"2024-10-06","SupportExperience",1,9
"2024-12-18","SupportExperience",1,10
"2025-01-01","SupportExperience",1,11
"2025-01-06","SupportExperience",1,12
"2025-04-20","SupportExperience",1,13
"2025-05-06","SupportExperience",1,14
"2025-05-17","SupportExperience",1,15
"2025-05-29","SupportExperience",1,16
"2025-09-13","SupportExperience",1,17
"2025-10-09","SupportExperience",1,18
"2025-10-16","SupportExperience",1,19
"2025-10-28","SupportExperience",1,20
